Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number,Percent,Notes Number,Notes Percent
2009-13,Citywide,New York City, New York City,1,Poverty,"1,653,857",20.3,,
2010-14,Citywide,New York City, New York City,1,Poverty,"1,696,394",20.6,,
2011-15,Citywide,New York City, New York City,1,Poverty,"1,710,872",20.6,,
2012-16,Citywide,New York City, New York City,1,Poverty,"1,689,759",20.3,,
2013-17,Citywide,New York City, New York City,1,Poverty,"1,648,288",19.6,,
2009-13,Borough,Bronx, Bronx,1,Poverty,"405,465",29.8,,
2010-14,Borough,Bronx, Bronx,1,Poverty,"419,580",30.5,,
2011-15,Borough,Bronx, Bronx,1,Poverty,"427,574",30.7,,
2012-16,Borough,Bronx, Bronx,1,Poverty,"427,715",30.5,,
2013-17,Borough,Bronx, Bronx,1,Poverty,"422,197",29.7,,
2009-13,Borough,Brooklyn, Brooklyn,2,Poverty,"583,378",23.1,,
2010-14,Borough,Brooklyn, Brooklyn,2,Poverty,"595,531",23.4,,
2011-15,Borough,Brooklyn, Brooklyn,2,Poverty,"597,404",23.2,,
2012-16,Borough,Brooklyn, Brooklyn,2,Poverty,"587,518",22.7,,
2013-17,Borough,Brooklyn, Brooklyn,2,Poverty,"570,731",21.9,,
2009-13,Borough,Manhattan, Manhattan,3,Poverty,"276,148",17.7,,
2010-14,Borough,Manhattan, Manhattan,3,Poverty,"278,958",17.7,,
2011-15,Borough,Manhattan, Manhattan,3,Poverty,"283,590",17.9,,
2012-16,Borough,Manhattan, Manhattan,3,Poverty,"279,847",17.6,,
2013-17,Borough,Manhattan, Manhattan,3,Poverty,"277,483",17.3,,
2009-13,Borough,Queens, Queens,4,Poverty,"333,910",15,,
2010-14,Borough,Queens, Queens,4,Poverty,"344,920",15.3,,
2011-15,Borough,Queens, Queens,4,Poverty,"343,834",15.1,,
2012-16,Borough,Queens, Queens,4,Poverty,"334,149",14.6,,
2013-17,Borough,Queens, Queens,4,Poverty,"317,142",13.7,,
2009-13,Borough,Staten Island, Staten Island,5,Poverty,"54,956",11.8,,
2010-14,Borough,Staten Island, Staten Island,5,Poverty,"57,405",12.3,,
