year,geotype_name,boro,geo,geo_id,indicator,n,percent_obese
2013,Citywide,New York City, New York City,1,Obese Adults,"1,470,000",23.5
2014,Citywide,New York City, New York City,1,Obese Adults,"1,567,000",24.7
2015,Citywide,New York City, New York City,1,Obese Adults,"1,551,000",24.2
2016,Citywide,New York City, New York City,1,Obese Adults,"1,523,000",23.7
2017,Citywide,New York City, New York City,1,Obese Adults,"1,617,000",25.1
2013,Borough,Bronx, Bronx,1,Obese Adults,"308,000",31
2014,Borough,Bronx, Bronx,1,Obese Adults,"303,000",30.2
2015,Borough,Bronx, Bronx,1,Obese Adults,"319,000",31.1
2016,Borough,Bronx, Bronx,1,Obese Adults,"348,000",33.5
2017,Borough,Bronx, Bronx,1,Obese Adults,"357,000",34.4
2013,Borough,Brooklyn, Brooklyn,2,Obese Adults,"510,000",27
2014,Borough,Brooklyn, Brooklyn,2,Obese Adults,"505,000",26.3
2015,Borough,Brooklyn, Brooklyn,2,Obese Adults,"520,000",26.7
2016,Borough,Brooklyn, Brooklyn,2,Obese Adults,"498,000",25.8
2017,Borough,Brooklyn, Brooklyn,2,Obese Adults,"514,000",26.4
2013,Borough,Manhattan, Manhattan,3,Obese Adults,"212,000",16.4
2014,Borough,Manhattan, Manhattan,3,Obese Adults,"227,000",17.5
2015,Borough,Manhattan, Manhattan,3,Obese Adults,"201,000",15.5
2016,Borough,Manhattan, Manhattan,3,Obese Adults,"201,000",15.4
2017,Borough,Manhattan, Manhattan,3,Obese Adults,"226,000",17.3
2013,Borough,Queens, Queens,4,Obese Adults,"338,000",19.3
2014,Borough,Queens, Queens,4,Obese Adults,"424,000",24.1
2015,Borough,Queens, Queens,4,Obese Adults,"421,000",23.6
2016,Borough,Queens, Queens,4,Obese Adults,"382,000",21.3
2017,Borough,Queens, Queens,4,Obese Adults,"426,000",23.9
2013,Borough,Staten Island, Staten Island,5,Obese Adults,"105,000",30
2014,Borough,Staten Island, Staten Island,5,Obese Adults,"107,000",30.2
2015,Borough,Staten Island, Staten Island,5,Obese Adults,"90,000",25.1
2016,Borough,Staten Island, Staten Island,5,Obese Adults,"94,000",26.4
2017,Borough,Staten Island, Staten Island,5,Obese Adults,"94,000",26
2013,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Obese Adults,"19,000",13.5
2014,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Obese Adults,"41,000",27.1
2015,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Obese Adults,"29,000",19.3
2016,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Obese Adults,"33,000",22.2
2017,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Obese Adults,"34,000",22.7
2013,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Obese Adults,"67,000",28.6
2014,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Obese Adults,"75,000",30.9
2015,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Obese Adults,"86,000",36
2016,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Obese Adults,"78,000",32.1
2017,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Obese Adults,"88,000",36.1
2013,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Obese Adults,"38,000",23.6
2014,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Obese Adults,"34,000",21
2015,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Obese Adults,"35,000",21.4
2016,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Obese Adults,"41,000",25.8
2017,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Obese Adults,"32,000",19.5
2013,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Obese Adults,"68,000",30
2014,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Obese Adults,"53,000",22.6
2015,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Obese Adults,"39,000",16
2016,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Obese Adults,"46,000",19.6
2017,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Obese Adults,"47,000",19.7
2013,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Obese Adults,"63,000",42
2014,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Obese Adults,"45,000",30.5
2015,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Obese Adults,"45,000",28.9
2016,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Obese Adults,"48,000",31.5
2017,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Obese Adults,"36,000",23.5
2013,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Obese Adults,"31,000",26.2
2014,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Obese Adults,"40,000",34.3
2015,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Obese Adults,"37,000",31.1
2016,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Obese Adults,"36,000",29.4
2017,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Obese Adults,"30,000",24.8
2013,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Obese Adults,"20,000",10.6
2014,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Obese Adults,"23,000",11.7
2015,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Obese Adults,"17,000",8.8
2016,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Obese Adults,"14,000",6.7
2017,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Obese Adults,"18,000",9
2013,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Obese Adults,"75,000",32.7
2014,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Obese Adults,"71,000",31.1
2015,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Obese Adults,"66,000",28.5
2016,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Obese Adults,"63,000",26.9
2017,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Obese Adults,"62,000",26.4
2013,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Obese Adults,"29,000",17
2014,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Obese Adults,"30,000",17.5
2015,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Obese Adults,"27,000",15.4
2016,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Obese Adults,"34,000",19
2017,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Obese Adults,"39,000",21.8
2013,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Obese Adults,"63,000",28.8
2014,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Obese Adults,"71,000",30.8
2015,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Obese Adults,"83,000",35.8
2016,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Obese Adults,"59,000",25.9
2017,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Obese Adults,"79,000",33.9
2013,Neighborhood (UHF 34),Manhattan, East Harlem,303,Obese Adults,"29,000",37.8
2014,Neighborhood (UHF 34),Manhattan, East Harlem,303,Obese Adults,"28,000",34.9
2015,Neighborhood (UHF 34),Manhattan, East Harlem,303,Obese Adults,"20,000",26.2
2016,Neighborhood (UHF 34),Manhattan, East Harlem,303,Obese Adults,"20,000",25.2
2017,Neighborhood (UHF 34),Manhattan, East Harlem,303,Obese Adults,"23,000",28.6
2013,Neighborhood (UHF 34),Brooklyn, East New York,204,Obese Adults,"32,000",24.2
2014,Neighborhood (UHF 34),Brooklyn, East New York,204,Obese Adults,"42,000",31.3
2015,Neighborhood (UHF 34),Brooklyn, East New York,204,Obese Adults,"49,000",35.4
2016,Neighborhood (UHF 34),Brooklyn, East New York,204,Obese Adults,"45,000",33.3
2017,Neighborhood (UHF 34),Brooklyn, East New York,204,Obese Adults,"42,000",31.7
2013,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Obese Adults,"23,000",11.5
2014,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Obese Adults,"32,000",15
2015,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Obese Adults,"39,000",17.7
2016,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Obese Adults,"22,000",10.2
